Dust2,Inferno,Vertigo,Overpass,Nuke,Mirage,Train,Default,Cache,Cobblestone,team_name
0.5373134328358209,0.4943820224719101,0.0,0.5158730158730159,0.3333333333333333,0.5638297872340425,0.4431818181818182,0.0,0.6463414634146342,0.5844155844155844,Epsilon
0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,RBG
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eZaF
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ferrari Peek
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OutPlayed
0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.25,0.0,0.0,0.5,volgare
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FiRENATiON
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Talentjes
0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,Brutality
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morituri
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACES Ladies
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0_o-
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OnlineBOTS
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Team Australia
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedJobs
0.5,0.3333333333333333,0.5,0.6666666666666666,0.6,0.42857142857142855,0.2,0.0,0.0,0.0,Goliath
0.5,0.6764705882352942,0.0,0.6530612244897959,0.0,0.6326530612244898,0.5254237288135594,0.0,0.6140350877192983,0.6538461538461539,Immortals
0.4,0.45454545454545453,0.5555555555555556,0.5,0.0,0.6666666666666666,0.5294117647058824,0.0,0.0,0.0,FATE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Namers
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,struggletony
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ex-Circa
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SuperOVD
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Interstellar
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wasted Talent
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PRIMORDIAL
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Blue
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masters of Panic
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Throw Potential
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kaos
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,MxB
